Chip Run Info,Z:\Projects\Reprogramming\Fluidigm Projects\BioMark Data\BioMark Data\BJ Monocistronic\Combined Chip Run BJ Monocistronic\ChipRun.bml,Combined Chip Run,96.96 (136x),GE 96x96 Fast v2,ROX,FAM-MGB,8/4/2014 4:56:26 PM,00:24:51,BIOMARKHD227
Application Version,4.1.2
Application Build,20140110.1735
Export Type,Table Results
Quality Threshold,0.4
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,FAM-MGB,FAM-MGB,FAM-MGB,FAM-MGB,User
Chamber,Sample,Sample,Sample,FAM-MGB,FAM-MGB,Ct,Ct,Ct,Ct,Defined
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,Comments
S096-A01,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,TET1,Test,23.1791059706157,0.286860638191181,Pass,0.00740197595583316,
S096-A02,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,PHC1,Test,999,0,Fail,0.00740197595583316,
S096-A03,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,MBD3,Test,999,0,Fail,0.00740197595583316,
S096-A04,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,SNAI2,Test,24.1835372341458,1,Pass,0.00740197595583316,
S096-A05,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,FOXD1,Test,21.0279842339533,1,Pass,0.00740197595583316,
S096-A06,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,FOSB,Test,999,0,Fail,0.00740197595583316,
S096-A07,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,CD44,Test,21.4280267255458,1,Pass,0.00740197595583316,
S096-A08,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,GABRB3,Test,999,0,Fail,0.00740197595583316,
S096-A09,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,SOX2,Test,999,0,Fail,0.00740197595583316,
S096-A10,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,ZNF281,Test,24.443383284065,1,Pass,0.00740197595583316,
S096-A11,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,SP1,Test,25.7576870183616,1,Pass,0.00740197595583316,
S096-A12,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,LEFTY1,Test,999,0,Fail,0.00740197595583316,
S096-A13,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,SET,Test,25.1778351347566,1,Pass,0.00740197595583316,
S096-A14,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,CBX7,Test,999,0,Fail,0.00740197595583316,
S096-A15,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,UTF1,Test,999,0,Fail,0.00740197595583316,
S096-A16,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,CDH2 (NCAD),Test,999,0,Fail,0.00740197595583316,
S096-A17,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,HNF4A,Test,999,0,Fail,0.00740197595583316,
S096-A18,MONO D14 SSEA4+ Tra1-60- 21,Unknown,1,TGFBR2,Test,24.1883814710351,0.979992967836678,Pass,0.00740197595583316,
